ID=17 | 魔道祖师         | 仙侠
ID=18 | 天官赐福         | 仙侠
ID=19 | 仙王的日常生活      | 仙侠
ID=22 | 紫府仙缘         | 仙侠
ID=28 | 重生之都市修仙      | 都市
ID=29 | 医道官途         | 都市
ID=31 | 我真是大明星       | 都市
ID=32 | 三体           | 科幻
ID=34 | 星穹之主         | 科幻
ID=36 | 末日轮盘         | 科幻
ID=37 | 深空之下         | 科幻
ID=39 | 我在精神病院学斩神    | 科幻
ID=41 | 微微一笑很倾城      | 言情
ID=42 | 何以笙箫默        | 言情
ID=43 | 花千骨          | 言情
ID=44 | 三生三世十里桃花     | 言情
ID=45 | 香蜜沉沉烬如霜      | 言情
ID=46 | 知否知否应是绿肥红瘦   | 言情
ID=47 | 琅琊榜          | 言情
ID=48 | 扶摇           | 言情
ID=49 | 穿越之诗酒趁年华     | 言情
ID=50 | 十年一品温如言      | 言情
ID=54 | 鬼吹灯          | 悬疑
ID=55 | 死亡万花筒        | 悬疑
ID=57 | 全球高考         | 悬疑
ID=58 | 噩梦惊袭         | 悬疑
ID=59 | 苗疆蛊事         | 悬疑
ID=60 | 我在泰国卖佛牌      | 悬疑
